original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
TSG 1899 Hoffenheim,tsg 1899 hoffenheim,tsg 1899 hoffenheim,100.0,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,TSG 1899 Hoffenheim,"TSG 1899 Hoffenheim, Belgium",,
Borussia Mönchengladbach,borussia monchengladbh,borussia monchengladbh,100.0,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Borussia Mönchengladbach,"Borussia Mönchengladbach, Belgium",,
VfB Stuttgart,vfb stuttgart,vfb stuttgart,100.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,VfB Stuttgart,"VfB Stuttgart, Belgium",,
Karlsruher SC,karlsruher,kas eupen,52.63157894736843,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Karlsruher SC,"Karlsruher SC, Belgium",,
VfL Bochum,vfl bochum,vfl bochum,100.0,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,VfL Bochum,"VfL Bochum, Belgium",,
SC Freiburg,freiburg,freiburg,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,SC Freiburg,"SC Freiburg, Belgium",,
1. FC Nürnberg,1  nurnberg,1 union berlin,56.00000000000001,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,1. FC Nürnberg,"1. FC Nürnberg, Belgium",,
1. FSV Mainz 05,1 fsv mainz 05,1fsv mainz 05,96.2962962962963,krc genk,17.391304347826086,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,1. FSV Mainz 05,"1. FSV Mainz 05, Belgium",,
1. FC Kaiserslautern,1  kaiserslautern,kas eupen,53.84615384615385,krc genk,30.76923076923077,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,1. FC Kaiserslautern,"1. FC Kaiserslautern, Belgium",,
FC St. Pauli,st pauli,st pauli,100.0,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC St. Pauli,"FC St. Pauli, Belgium",,
FC Augsburg,augsburg,augsburg,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Augsburg,"FC Augsburg, Belgium",,
Fortuna Düsseldorf,fortuna dusseldorf,fortuna sittard,60.60606060606061,krc genk,23.07692307692308,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Fortuna Düsseldorf,"Fortuna Düsseldorf, Belgium",,
SpVgg Greuther Fürth,spvgg greuther furth,greuther furth,82.35294117647058,zulte waregem,30.303030303030297,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,SpVgg Greuther Fürth,"SpVgg Greuther Fürth, Belgium",,
Eintracht Braunschweig,eintrht braunhweig,eintrht frankfurt,62.85714285714285,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Eintracht Braunschweig,"Eintracht Braunschweig, Belgium",,
SC Paderborn 07,paderborn 07,degerfors if,50.0,beerhot,31.57894736842105,Belgium,Pro League,Beerschot - Belgium - Pro League.png,SC Paderborn 07,"SC Paderborn 07, Belgium",,
FC Ingolstadt 04,ingolstadt 04,livingston,43.47826086956522,zulte waregem,23.07692307692308,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Ingolstadt 04,"FC Ingolstadt 04, Belgium",,
SV Darmstadt 98,sv darmstadt 98,sv darmstadt 98,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,SV Darmstadt 98,"SV Darmstadt 98, Belgium",,
Atalanta,atalanta,atalanta bc,84.21052631578947,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Atalanta,"Atalanta, Belgium",51.3579588,4.959085
Siena,siena,arsenal,66.66666666666667,krc genk,30.76923076923077,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Siena,"Siena, Belgium",50.69824585,6.033542216796622
Cagliari,cagliari,cagliari calcio,69.56521739130434,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Cagliari,"Cagliari, Belgium",,
Lazio,lazio,lazio,100.0,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Lazio,"Lazio, Belgium",41.9197061,12.4812462
Catania,catania,casa pia,66.66666666666667,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Catania,"Catania, Belgium",,
Genoa,genoa,genoa c,83.33333333333334,krc genk,46.15384615384615,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Genoa,"Genoa, Belgium",,
Chievo Verona,chievo verona,hellas verona,69.23076923076923,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Chievo Verona,"Chievo Verona, Belgium",,
Reggio Calabria,reggio calabria,r charleroi,53.84615384615385,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Reggio Calabria,"Reggio Calabria, Belgium",,
Fiorentina,fiorentina,f fiorentina,90.9090909090909,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Fiorentina,"Fiorentina, Belgium",50.6138638,5.615042976471606
Juventus,juventus,juventus,100.0,beerhot,26.66666666666667,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Juventus,"Juventus, Belgium",51.000448000000006,4.019253434360021
Milan,milan,milan,100.0,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Milan,"Milan, Belgium",50.41425192960356,6.085235680987052
Bologna,bologna,bologna  1909,70.0,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Bologna,"Bologna, Belgium",,
Roma,roma,as roma,72.72727272727273,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Roma,"Roma, Belgium",51.2183238,4.4189278
Napoli,napoli,s napoli,85.71428571428572,beerhot,15.384615384615383,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Napoli,"Napoli, Belgium",50.847545,4.3528971
Sampdoria,sampdoria,sampdoria,100.0,zulte waregem,18.181818181818176,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Sampdoria,"Sampdoria, Belgium",,
Inter,inter,winterthur,66.66666666666667,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Inter,"Inter, Belgium",51.2232333,4.427878
